"0","i wasnt sure what size jumper i needed ie","Range|Size"
"1","i cant see right hand dresses as no facility to scroll right very annoying","Latency|Navigation"
"2","man  jinx","None"
"3","an app to show whether an item will be restocked after being sold out and possibly when would be fab","Navigation|Stock"
"4","okay","None"
"5","i like this site very much","None"
"6","font like the moving real people at the top of the page its annoying","MoreFunc"
"7","when i select a certain size of shoe or clothing items appear that are not in stock in that size","Stock"
"8","your prices are higher clothing stores global","Price"
"9","keep items in the shopping basket for next visit","MoreFunc"
"10","do better customer service","MoreFunc"
"11","its ok","None"
"12","dont feel the models youve chosen do the clothes justice","Images|Products"
"13","returns to store  the fact this option isnt available puts me off buying online","Navigation"
"14","cheaper prices","Price"
"15","everything until now is ok","None"
"16","i like looking at the new styles and colors great way to buy x","Images"
"17","price","Price"
"18","hi yes for some reason the reviews dont appear ","Latency"
"19","opening hours","MoreFunc"
"20","i love everything about the site","None"
"21","clothes rant as nice as they used to be","Products"
"22","checkout hanging and unsure whether payment gone through or notb","Navigation"
"23","site is brilliant no need to improve","None"
"24","make things cheaper i cant afford anything","Price"
"25","make it look more colorful and lively instead of dull","Navigation"
"26","lkjlkj","None"
"27","mail to the usa please","Delivery"
"28","perfect","None"
"29","a little slow","Latency"
"30","lower your prices","Price"
"31","post videos of each cloth","MoreFunc"
"32","i would like to benefit from a permanent outlet section","MoreFunc"
"33","yes","None"
"34","make it where you can email the picture of the dresses to a friend","MoreFunc"
"35","its very easy to find what were looking for","Navigation"
"36","more pictures of the cloths  many difficult to see properly on models","Images"
"37","goodnight","None"
"38","replacing popular items when they have sold out","Stock"
"39","how to ship things to the united states","Delivery"
"40","feel good","None"
"41","i like that on your site all your items are easy accessible and  you can improve on getting the pending approval faster","Navigation"
"42","just started looking at it","None"
"43","where is the united states in the country list","Delivery"
"44","models to display all items  otherwise difficult to tell what the fit","MoreFunc"
"45","i love everything","None"
"46","view 2 or more designers at one time","MoreFunc"
"47","its amazing","None"
"48","i like the shoes and the hats","Products"
"49","you can improve the price ","Price"
"50","i find this website easy to navigate","Navigation"
"51","much cheaper international shipping fee and on sale or last piece alert","Delivery|Price"
"52","just love ur site","None"
"53","more size 3 please","Size"
"54","get more fashionable things in the store","Range"
"55","to be able to choose by  of sale  from the high to low or vice avers","MoreFunc"
"56","i like it","None"
"57","set an amount that qualifies shoppers for free shipping","Delivery"
"58","have the stuff cheaper","Price"
"59","no store in san francisco ","None"
"60","show bikini tops and bottoms that match on the same page at least","Images"
"61","pity more sizes arent available on all items","Size"
"62","its simple and easy to use","Navigation"
"63","i really really want it","None"
"64","more choice on the canadian site which is boring comparing to the euro one","Range"
"65","more student discount","Price"
"66","there is no size description of bags","Size"
"67","cheaper products","Price"
"68","cheapen the clothes","Price"
"69","mason point f no is wrong","None"
"70","there doesnt seem to be enough information about the fit of the jean","Size"
