"12162","A2LV5QYHH24OMY","Fix your iphone app.","Latency"
"13526","A2LV5QYHH24OMY","prices","Price"
"27102","A2LV5QYHH24OMY","I love the moving models featured on the site.","Images"
"7804","A312KFQ78WB3A4","have a 'check nearest store' section","MoreFunc"
"23429","A2LV5QYHH24OMY","directions","MoreFunc"
"18314","A1KYGP10BH4FXU","have more gucci belts","Range"
"7407","A3MXBLYX2CDGTP","Good!!!","None"
"27957","A2QN0EGBRGJU1M","the site customer friendly","Navigation"
"22984","A2LV5QYHH24OMY","You could improve creating some wishlist to put our favourit pieces :)","MoreFunc"
"20171","A312KFQ78WB3A4","cheaper delivery","Delivery"
"22787","A1KYGP10BH4FXU","have an advanced search","None"
"20644","A182JW8U6PO60U","this gives the distinct impression that you don't care about your buying customers.","None"
"9467","A1KYGP10BH4FXU","am here for my soul mate","None"
"7779","A2LV5QYHH24OMY","more colorful on the background site","Navigation"
"2967","A2I3Y0L38HMQLZ","Free delivery please.","Delivery"
"11334","A2LV5QYHH24OMY","I like a lot of the clothes","Products"
"14385","A2LV5QYHH24OMY","having more of the items on mannequins to see the length etc","Images|MoreFunc"
"13826","A1KYGP10BH4FXU","have more stock","Stock"
"3885","A312KFQ78WB3A4","color background for white products so you can actually see them.","Images"
"12960","A2I3Y0L38HMQLZ","When describing clothing please put size model is wearing and their height then can get true idea of how it looks and sizing","Size"
"17616","A2LV5QYHH24OMY","sort out your system tried to order","Navigation"
"17942","A2LV5QYHH24OMY","the best thing about this is that it has good layout and what you need to improve is the search engine","Navigation|MoreFunc"
"23945","A2LV5QYHH24OMY","love it!","None"
"21004","A312KFQ78WB3A4","everything","None"
"3809","A312KFQ78WB3A4","make everything less expensive please!!","Price"
"24347","A2I3Y0L38HMQLZ","the prices are to expensive","Price"
"20156","A2LV5QYHH24OMY","also maybe a feature where you can sort of bookmark an item for later so it doesn't disrupt browsing?","MoreFunc"
"3949","A2LV5QYHH24OMY","would be great if It didnt freeze as much...............","Latency"
"25669","A3SWVCOJPJM7KQ","More specific measurements for garments.","None"
"28891","A2LV5QYHH24OMY","i think your website is great and does not need any changes made to it","Navigation"
"16081","A1KYGP10BH4FXU","GREAT IMAGES TO SEE EACH DETAIL","None"
"6025","A2LV5QYHH24OMY","sale by size (warehouse do this- v helpful)","Size|MoreFunc"
"6466","A1KYGP10BH4FXU","can change to display difference currancy.","None"
